user_id,following
3207,"[30,34]"
3210,[42]
3213,[30]
3217,[34]
3221,[4298]
3226,"[34,37]"
3227,[34]
3230,"[40,34,669]"
3232,[34]
3241,[21]
3244,"[34,32,30,3316]"
3247,[145]
3248,"[32,2751]"
3250,[34]
3251,"[21,2751]"
3254,"[34,22670,19023,32,23932,2751,21]"
3264,[2977]
3270,[34]
3273,"[4231,30,34,2751,8334,37]"
3278,[34]
3280,[34]
3282,[34]
3284,[34]
3285,[34]
3287,[34]
3288,[30]
3289,"[34,3316,8341,7625,8322,45,8256,8230,8234,8051,2469,8174,8166,8164,8133,7774,8046,2684,351,7766,1022,7711,7651,7608,5481,5466,5465,5298,5281,5258,5237,5243,2295,5042,5213,5211,5208,5183,5180,5157,5150,4954,5138,5146,9,3784,3779,3859,3869,3871,3872,2861,756,3946,32,3955,3956,2407,3996,2189,3882,736,4015,4042,4043,1052,3009,4051,4041,2516,4080,4098,4102,1162,3847,4143,1470,4166,4167,552,4183,4221,4284,4219,4380,4388,4506,3977,4526,4109,4614,2869,4341,4634,4637,4647,4648,4657,4670,4671,4696,4681,4680,4698,4703,4688,7600,3289]"
3290,[30]
3291,[34]
3293,[31]
3299,[34]
3308,[34]
3313,[33]
3316,"[3316,34,37512]"
3317,[49]
3318,[31]
3319,"[12812,23932,12770,2751,28863,4298,17780]"
3320,[34]
3325,"[22670,2751]"
3326,[30]
3327,[30]
3331,[21]
3334,[669]
3338,[21]
3344,"[21,2751,3881,4231,19023,4298,22670]"
3345,"[3316,2751,41,12411]"
3350,[32]
3355,"[3343,10,32]"
3357,"[30,34,37,2977,669]"
3361,[21]
3362,[2751]
3369,[10]
3370,"[40,37]"
3374,[34]
3376,"[33,22670,19023]"
3380,[2751]
3382,[2751]
3385,"[4129,3013,2751,22670]"
3386,[2751]
3389,"[30,2751]"
3390,[2751]
3397,"[30,21]"
3402,[21]
3403,[21]
3404,[32]
3405,[4231]
3406,[2751]
3408,[19023]
3410,[2751]
3417,[30]
3418,[34]
3419,[42]
3420,"[145,669,34,4231,2751,19023,36,22670]"
3422,"[2751,21]"
3423,[2751]
3424,[2751]
3426,[2977]
3430,"[21,4231]"
3435,[40]
3436,[2751]
3437,[2751]
3440,[2751]
3443,[34]
3444,[2751]
3448,[2751]
3449,[34]
3454,"[2751,4129]"
3459,[2751]
3460,[2751]
3466,[34]
3469,"[145,37,12812]"
3471,"[2977,21]"
3473,[2751]
3478,[669]
3482,"[2751,669]"
3483,[2751]
3484,[2751]
3498,[21]
3501,[2751]
3508,"[34,22670]"
3509,[2751]
3510,[2751]
3512,[2751]
3519,[23932]
3528,"[2751,2977]"
3530,[2751]
3531,[2751]
3534,"[2751,19023,22670]"
3536,[2751]
3537,"[36,32,34,31]"
3538,[2751]
3541,"[34,2751]"
3542,[2751]
3543,[34]
3550,[2751]
3551,[2751]
3552,[31]
3556,[34]
3558,[2751]
3559,[2751]
3560,"[2751,145]"
3562,"[2751,19023]"
3567,[14260]
3570,[2751]
3571,"[3013,2751,37,33,38,49,3343]"
3578,[2751]
3580,[34]
3581,[30536]
3582,[2751]
3583,[2751]
3590,[2751]
3591,[77]
3593,"[3343,4129]"
3596,[2751]
3599,[2751]
3600,[3343]
3606,[2751]
3611,[34]
3614,[2751]
3618,"[34,7670]"
3622,[30]
3637,[2751]
3640,[145]
3641,[21]
3642,[34]
3644,[2751]
3645,[2751]
3648,[2751]
3653,[2751]
3655,[2751]
3658,[2751]
3659,"[30,145]"
3660,[2751]
3664,[2751]
3672,[30]
3676,"[2751,21,30]"
3677,[2751]
3678,[2751]
3679,[1089]
3680,[2751]
3681,"[2751,145,669,32]"
3682,"[41,30]"
3690,"[32,2751]"
3691,[30]
3694,[2751]
3695,"[2844,2850,2879,2916,2919,2814,2980,1162,259,3131,3173,3178,3382,3390,3389,30]"
3698,[8334]
3701,[4155]
3703,[33]
3706,[2751]
3707,[2751]
3709,[2751]
3710,"[2751,30,34,669,41,21,32]"
3711,"[2751,30]"
3712,[2751]
3721,"[145,37,30,2751,14260]"
3722,[32]
3725,[2751]
